trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
273,False,"{'a': 0.033, 'e': 0.06521928966812753}",20,8,-12.355752617487347,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
274,False,"{'a': 0.033, 'e': 0.06457034689316847}",30,9,32.91504740374779,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.033, 'e': 0.06392786120670757}",25,13,15.034415352795632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.033, 'e': 0.0632917683596407}",25,11,27.257840974421036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.033, 'e': 0.06266200474215315}",25,3,28.739672124671927,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.033, 'e': 0.06203850737735829}",30,17,20.09461796266679,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.033, 'e': 0.06142121391500013}",20,9,19.064956221947213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.033, 'e': 0.06081006262521795}",25,0,23.339115974008536,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
281,False,"{'a': 0.033, 'e': 0.06020499239237354}",30,21,13.735518590808134,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.033, 'e': 0.05960594270893937}",25,4,20.24680604688936,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.033, 'e': 0.05901285366944784}",25,8,19.963057686870503,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.033, 'e': 0.05842566596450083}",20,0,7.29523947008669,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
285,False,"{'a': 0.033, 'e': 0.057844320874838456}",25,13,17.0625957141529,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.033, 'e': 0.05726876026546736}",30,3,-0.4439056631921472,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
287,False,"{'a': 0.033, 'e': 0.0566989265798469}",30,9,30.653470064707452,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.033, 'e': 0.056134762834133725}",20,6,27.09261452805952,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.033, 'e': 0.05557621261148306}",25,9,-12.712200392042494,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.033, 'e': 0.05502322005640723}",20,5,2.141291976265384,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
291,False,"{'a': 0.033, 'e': 0.05447572986918986}",35,20,2.310898126153136,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
292,False,"{'a': 0.033, 'e': 0.05393368730035602}",30,12,6.250935578085153,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
293,False,"{'a': 0.033, 'e': 0.053397038145197084}",20,4,28.777708538516936,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.033, 'e': 0.05286572873835037}",20,0,-15.371980993122763,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
295,False,"{'a': 0.033, 'e': 0.05233970594843238}",20,13,13.09515352821138,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.033, 'e': 0.05181891717272583}",20,10,16.6067115453921,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.033, 'e': 0.05130331033191911}",25,9,27.97296363361656,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.033, 'e': 0.0507928338648985}",35,9,16.366472653617947,"{0: 23, 1: 3, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.033, 'e': 0.050287436723591865}",20,3,27.99655523596981,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.033, 'e': 0.049787068367863944}",20,8,18.567103237178554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.033, 'e': 0.04929167876046215}",30,12,34.43685762393938,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.033, 'e': 0.04880121836201296}",20,8,23.55650536970857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.033, 'e': 0.04831563812606777}",20,0,23.52498411624114,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.033, 'e': 0.04783488949419837}",30,18,21.287693998700615,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.033, 'e': 0.04735892439114091}",25,12,14.544494798060237,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.033, 'e': 0.046887695219988486}",20,8,-30.882732093574116,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
307,False,"{'a': 0.033, 'e': 0.04642115485743125}",20,16,7.306758301055273,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.033, 'e': 0.045959256649044204}",30,21,18.38949012609561,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.033, 'e': 0.04550195440462157}",25,20,8.977913482273198,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.033, 'e': 0.0450492023935578}",30,14,23.31417132942894,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.033, 'e': 0.044600955340274535}",25,0,17.080560736578093,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
312,False,"{'a': 0.033, 'e': 0.04415716841969286}",30,18,-3.1121686704130727,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
313,False,"{'a': 0.033, 'e': 0.04371779725275094}",25,0,33.37060171762803,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
314,False,"{'a': 0.033, 'e': 0.043282797901965896}",20,6,22.172848987147315,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.033, 'e': 0.04285212686704019}",25,6,-10.901740309335239,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
316,False,"{'a': 0.033, 'e': 0.042425741080511385}",30,2,32.4803219908198,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.033, 'e': 0.04200359790344555}",35,17,29.5191106216584,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.033, 'e': 0.04158565512117316}",20,0,-16.812098336836307,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
319,False,"{'a': 0.033, 'e': 0.04117187093906774}",30,0,42.575219718319424,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
320,False,"{'a': 0.033, 'e': 0.04076220397836621}",25,8,21.311050874673466,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.033, 'e': 0.04035661327203115}",20,0,22.85798661622816,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
322,False,"{'a': 0.033, 'e': 0.039955058260653896}",25,10,16.35072323144162,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.033, 'e': 0.039557498788398725}",30,4,40.78589457557485,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.033, 'e': 0.039163895098987066}",20,0,25.306887531004566,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
325,False,"{'a': 0.033, 'e': 0.03877420783172201}",25,15,14.772819847022213,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.033, 'e': 0.038388398017552054}",25,3,39.3833440174038,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.033, 'e': 0.038006427075174314}",35,23,24.718194541767073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.033, 'e': 0.0376282568071762}",20,12,12.777511510376609,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.033, 'e': 0.03725384939621581}",25,0,33.05797065220065,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,False,"{'a': 0.033, 'e': 0.036883167401239994}",20,10,12.562909776038003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.033, 'e': 0.0365161737537404}",25,4,37.71168289825882,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.033, 'e': 0.03615283175404641}",20,5,11.685123088156711,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.033, 'e': 0.0357931050676553}",20,0,30.81322018460623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
334,False,"{'a': 0.033, 'e': 0.03543695772159864}",25,18,13.820137447798228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.033, 'e': 0.035084354100845025}",30,12,25.310308018655796,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.033, 'e': 0.03473525894473856}",20,12,14.481725117638423,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.033, 'e': 0.03438963734347271}",30,0,-17.22487992839091,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
338,False,"{'a': 0.033, 'e': 0.034047454734599344}",25,7,33.05755012740414,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.033, 'e': 0.033708676899572396}",25,0,39.57792727476725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.033, 'e': 0.03337326996032608}",20,14,12.045726940609553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
